run_id,experiment_id,benchmark,config_name,agent,model,status,trial,duration_seconds,total_tokens,cost_usd,cost_provenance,validity,files_changed,insertions,deletions,execution_backend
20260825T203449Z-96e8b2,20260825T191521Z-4727103d,apimigrate,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,2,216.25,428193,0.013318589999999998,provider_models_api/estimated,valid,5,23,17,host
20260825T203645Z-987c2a,20260825T191521Z-4727103d,apimigrate,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,3,86.437,227788,0.00715414,provider_models_api/estimated,valid,1,22,12,host
20260825T203304Z-644f18,20260825T191521Z-4727103d,apimigrate,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,1,216.969,533001,0.01655973,provider_models_api/estimated,valid,4,29,20,host
20260825T203231Z-03450d,20260825T191521Z-4727103d,apimigrate,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,134.343,193173,,unpriced/provider_models_api/unknown,valid,5,32,25,host
20260825T203117Z-1f6d00,20260825T191521Z-4727103d,apimigrate,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,102.328,166628,,unpriced/provider_models_api/unknown,valid,5,27,25,host
20260825T203014Z-63aae4,20260825T191521Z-4727103d,apimigrate,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,1,133.89,180624,,unpriced/provider_models_api/unknown,valid,5,46,29,host
20260825T202952Z-649fce,20260825T191521Z-4727103d,txnrollback,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,evaluation_failed,3,81.875,14158,0.00042994,provider_models_api/estimated,valid,0,0,0,host
20260825T202544Z-5015b4,20260825T191521Z-4727103d,txnrollback,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,2,264.672,268470,0.008486400000000002,provider_models_api/estimated,valid,2,16,0,host
20260825T202349Z-3565a1,20260825T191521Z-4727103d,txnrollback,hermes-gpt-oss-20b,hermes,openai/gpt-oss-20b,passed,1,359.719,477815,0.015102450000000002,provider_models_api/estimated,valid,1,11,2,host
20260825T202326Z-8ca3a2,20260825T191521Z-4727103d,txnrollback,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,3,133.75,251261,,unpriced/provider_models_api/unknown,valid,2,22,1,host
20260825T202154Z-5f31ad,20260825T191521Z-4727103d,txnrollback,hermes-ox-alpha,hermes,stealth/ox-alpha,passed,2,110.578,153341,,unpriced/provider_models_api/unknown,valid,1,15,4,host
